wavelenghts,device 1,device 2,difference ,avg,max
535.93,1498.3,1500.6,2.3,,
536.41,1500.7,1499.2,1.5,,
536.88,1501.3,1500.1,1.2,,
537.35,1498.7,1500.4,1.7,,
537.82,1499,1501,2,,
538.29,1500,1499.3,0.7,,
538.77,1500,1497.9,2.1,,
539.24,1499.3,1498.8,0.5,,
539.71,1499,1500.1,1.1,,
540.18,1500,1499.9,0.1,,
540.65,1502.3,1499.3,3,,
541.13,1500.7,1499.1,1.6,,
541.6,1499,1500.4,1.4,,
542.07,1499.3,1500.6,1.3,,
542.54,1499.7,1500,0.3,,
543.02,1498.7,1500.8,2.1,,
543.49,1496.3,1501,4.7,,
543.96,1499.3,1500.3,1,,
544.43,1502,1498.5,3.5,,
544.91,1502.7,1498.7,4,,
545.38,1500.3,1498.7,1.6,,
545.85,1500.7,1498.7,2,,
546.32,1501.3,1499.2,2.1,,
546.8,1499.7,1499.7,0,,
547.27,1496.7,1500.3,3.6,,
547.74,1498.7,1499.1,0.4,,
548.22,1500.3,1499.1,1.2,,
548.69,1501.7,1497.7,4,,
549.16,1500,1498,2,,
549.63,1497.3,1500.9,3.6,,
550.11,1500.7,1502.4,1.7,,
550.58,1500.3,1500.2,0.1,,
551.05,1499,1499.2,0.2,,
551.53,1500.3,1499.5,0.8,,
552,1499.7,1499.2,0.5,,
552.47,1501.3,1499.5,1.8,,
552.95,1498.7,1498.8,0.1,,
553.42,1497.3,1499,1.7,,
553.89,1496,1501,5,,
554.37,1500,1501.3,1.3,,
554.84,1500,1499.2,0.8,,
555.31,1499.3,1497.7,1.6,,
555.79,1501.7,1498.8,2.9,,
556.26,1498.3,1500.5,2.2,,
556.73,1501.3,1500,1.3,,
557.21,1498.7,1499.2,0.5,,
557.68,1500.3,1498.7,1.6,,
558.15,1500.3,1501.1,0.8,,
558.63,1499.3,1502.1,2.8,,
559.1,1499.3,1500,0.7,,
559.57,1502,1499.9,2.1,,
560.05,1499.7,1498.5,1.2,,
560.52,1499,1499.8,0.8,,
561,1499.7,1501.8,2.1,,
561.47,1499,1500.1,1.1,,
561.94,1500.7,1499.6,1.1,,
562.42,1500.3,1499.1,1.2,,
562.89,1503,1500.5,2.5,,
563.37,1499.3,1500.4,1.1,,
563.84,1498.7,1499.1,0.4,,
564.31,1499.7,1501.1,1.4,,
564.79,1500.7,1502.5,1.8,,
565.26,1498.3,1500,1.7,,
565.74,1500.7,1499.1,1.6,,
566.21,1500,1500.9,0.9,,
566.68,1499,1501.2,2.2,,
567.16,1502,1499.7,2.3,,
567.63,1499.3,1497.7,1.6,,
568.11,1498,1498.6,0.6,,
568.58,1497.3,1499.9,2.6,,
569.06,1499,1499.4,0.4,,
569.53,1497.3,1499,1.7,,
570.01,1498.7,1499.3,0.6,,
570.48,1499.3,1498.8,0.5,,
570.96,1498.3,1497.3,1,,
571.43,1501,1498.7,2.3,,
571.9,1498.7,1500.4,1.7,,
572.38,1499.3,1500.7,1.4,,
572.85,1500,1502.7,2.7,,
573.33,1499.7,1499.4,0.3,,
573.8,1500,1500,0,,
574.28,1500.7,1500.6,0.1,,
574.75,1501.7,1501,0.7,,
575.23,1501.3,1500.9,0.4,,
575.7,1497.3,1498.2,0.9,,
576.18,1498.7,1499.2,0.5,,
576.65,1502.3,1500.4,1.9,,
577.13,1500.3,1500.6,0.3,,
577.6,1499.3,1499.6,0.3,,
578.08,1498,1498.1,0.1,,
578.55,1498.3,1499.8,1.5,,
579.03,1500,1500.1,0.1,,
579.51,1499.3,1497.6,1.7,,
579.98,1498.7,1500,1.3,,
580.46,1502,1498.4,3.6,,
580.93,1500.3,1499.1,1.2,,
581.41,1503,1500.3,2.7,,
581.88,1500.3,1500.2,0.1,,
582.36,1500,1499.8,0.2,,
582.83,1501.7,1500.2,1.5,,
583.31,1501.7,1500.7,1,,
583.79,1499.7,1500.2,0.5,,
584.26,1499.3,1499.2,0.1,,
584.74,1501.7,1500.1,1.6,,
585.21,1502.7,1500.6,2.1,,
585.69,1498,1500.6,2.6,,
586.16,1501.3,1498.9,2.4,,
586.64,1500.3,1500.5,0.2,,
587.12,1501.3,1499.1,2.2,,
587.59,1501,1500.4,0.6,,
588.07,1499,1500.7,1.7,,
588.54,1502.3,1500.7,1.6,,
